Event,Date,Position,Finish Time,Age Grade,Course Personal Best,New Personal Best,Latitude,Longitude
Coldham’s Common,16/03/2024,39,00:21:38,68.41%,No,No,52.2073,0.154411
Harcourt Hill,24/02/2024,7,00:21:37,68.47%,No,No,51.597185,-1.021595
University Parks,17/02/2024,70,00:21:39,68.36%,No,No,51.762367,-1.254413
University Parks,10/02/2024,139,00:22:38,65.39%,No,No,51.762367,-1.254413
University Parks,03/02/2024,71,00:20:37,71.79%,No,No,51.762367,-1.254413
Harcourt Hill,20/01/2024,27,00:23:00,64.35%,No,No,51.597185,-1.021595
University Parks,01/01/2024,92,00:22:30,65.78%,No,No,51.762367,-1.254413
University Parks,30/12/2023,165,00:25:34,57.89%,No,No,51.762367,-1.254413
Harcourt Hill,16/12/2023,11,00:22:31,65.73%,No,No,51.597185,-1.021595
University Parks,02/12/2023,36,00:20:39,71.67%,No,No,51.762367,-1.254413
University Parks,25/11/2023,89,00:22:23,66.12%,No,No,51.762367,-1.254413
University Parks,18/11/2023,103,00:23:36,62.71%,No,No,51.762367,-1.254413
Harcourt Hill,21/10/2023,5,00:21:06,70.14%,No,No,51.597185,-1.021595
University Parks,14/10/2023,43,00:21:05,70.20%,No,No,51.762367,-1.254413
Harcourt Hill,07/10/2023,12,00:21:42,68.20%,No,No,51.597185,-1.021595
University Parks,30/09/2023,50,00:20:47,71.21%,No,No,51.762367,-1.254413
Portobello,16/09/2023,11,00:20:43,71.44%,Yes,No,55.952863,-3.114557
Donaupark,09/09/2023,26,00:21:54,67.58%,No,No,48.239197,16.412228
Abingdon,02/09/2023,48,00:22:39,65.34%,No,No,51.671484,-1.277972
University Parks,26/08/2023,36,00:20:35,71.90%,No,No,51.762367,-1.254413
Milton Country,19/08/2023,31,00:22:12,66.67%,No,No,52.235724,0.164725
Clapham Common,29/07/2023,96,00:21:46,67.99%,No,No,51.462075,-0.137359
University Parks,22/07/2023,182,00:26:27,55.95%,No,No,51.762367,-1.254413
Harcourt Hill,08/07/2023,6,00:20:19,72.85%,Yes,No,51.597185,-1.021595
University Parks,01/07/2023,58,00:21:49,67.84%,No,No,51.762367,-1.254413
Wimbledon Common,24/06/2023,81,00:22:38,65.39%,Yes,No,51.427074,-0.244198
Harcourt Hill,22/04/2023,14,00:22:27,65.92%,No,No,51.597185,-1.021595
University Parks,15/04/2023,44,00:20:41,71.56%,No,No,51.762367,-1.254413
University Parks,25/03/2023,51,00:21:08,70.03%,No,No,51.762367,-1.254413
Portobello,18/03/2023,34,00:21:31,68.78%,No,No,55.952863,-3.114557
